121     
3     
10 10 10   
40 40 40   
0 50 50 0  
1 5.4742 13.6639 3  
2 56.5324 18.5728 4  
3 28.8969 88.0965 4  
4 46.2325 67.5018 2  
5 60.2775 16.4114 5  
6 46.5764 36.9013 1  
7 92.7474 19.1074 4  
8 72.4842 84.9199 3  
9 85.5653 43.2486 4  
10 74.327 9.2286 4  
11 61.692 33.1416 5  
12 10.1566 87.8063 1  
13 42.1136 50.7648 4  
14 7.5944 7.3161 1  
15 41.5944 99.887 2  
16 96.1876 62.2897 4  
17 39.6928 10.7336 5  
18 30.6911 17.1037 1  
19 15.4375 51.4231 4  
20 47.7836 58.609 1  
21 5.9529 63.4696 2  
22 94.8738 50.1757 1  
23 9.1267 87.6559 3  
24 2.1709 1.5146 5  
25 90.6468 41.9378 2  
26 49.5945 1.9757 2  
27 55.0251 21.5767 5  
28 20.4772 73.5309 5  
29 2.8866 99.2709 5  
30 3.2654 53.5683 5  
31 31.9798 57.6664 4  
32 43.3098 86.1053 2  
33 47.6581 77.4189 4  
34 41.1876 83.3513 5  
35 64.059 86.2566 4  
36 54.9205 56.9563 5  
37 27.2061 80.5042 3  
38 98.816 39.2866 1  
39 5.4022 34.3854 1  
40 27.3945 2.0555 1  
41 5.4742 13.6639 5  
42 56.5324 18.5728 2  
43 28.8969 88.0965 3  
44 46.2325 67.5018 4  
45 60.2775 16.4114 2  
46 46.5764 36.9013 3  
47 92.7474 19.1074 5  
48 72.4842 84.9199 3  
49 85.5653 43.2486 5  
50 74.327 9.2286 1  
51 61.692 33.1416 4  
52 10.1566 87.8063 1  
53 42.1136 50.7648 5  
54 7.5944 7.3161 2  
55 41.5944 99.887 5  
56 96.1876 62.2897 5  
57 39.6928 10.7336 5  
58 30.6911 17.1037 4  
59 15.4375 51.4231 3  
60 47.7836 58.609 2  
61 5.9529 63.4696 2  
62 94.8738 50.1757 5  
63 9.1267 87.6559 3  
64 2.1709 1.5146 3  
65 90.6468 41.9378 2  
66 49.5945 1.9757 1  
67 55.0251 21.5767 2  
68 20.4772 73.5309 4  
69 2.8866 99.2709 2  
70 3.2654 53.5683 3  
71 31.9798 57.6664 2  
72 43.3098 86.1053 2  
73 47.6581 77.4189 5  
74 41.1876 83.3513 4  
75 64.059 86.2566 2  
76 54.9205 56.9563 1  
77 27.2061 80.5042 3  
78 98.816 39.2866 5  
79 5.4022 34.3854 4  
80 27.3945 2.0555 2  
81 5.4742 13.6639 3  
82 56.5324 18.5728 1  
83 28.8969 88.0965 4  
84 46.2325 67.5018 1  
85 60.2775 16.4114 5  
86 46.5764 36.9013 1  
87 92.7474 19.1074 2  
88 72.4842 84.9199 1  
89 85.5653 43.2486 1  
90 74.327 9.2286 5  
91 61.692 33.1416 4  
92 10.1566 87.8063 5  
93 42.1136 50.7648 1  
94 7.5944 7.3161 1  
95 41.5944 99.887 2  
96 96.1876 62.2897 1  
97 39.6928 10.7336 2  
98 30.6911 17.1037 1  
99 15.4375 51.4231 5  
100 47.7836 58.609 4  
101 5.9529 63.4696 1  
102 94.8738 50.1757 4  
103 9.1267 87.6559 3  
104 2.1709 1.5146 4  
105 90.6468 41.9378 2  
106 49.5945 1.9757 4  
107 55.0251 21.5767 3  
108 20.4772 73.5309 3  
109 2.8866 99.2709 1  
110 3.2654 53.5683 4  
111 31.9798 57.6664 5  
112 43.3098 86.1053 2  
113 47.6581 77.4189 1  
114 41.1876 83.3513 5  
115 64.059 86.2566 3  
116 54.9205 56.9563 4  
117 27.2061 80.5042 1  
118 98.816 39.2866 5  
119 5.4022 34.3854 5  
120 27.3945 2.0555 3  
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
