151     
3     
10 10 10   
50 50 50   
0 50 50 0  
1 31.5092 48.3311 4  
2 81.3269 10.538 4  
3 89.4204 68.58 5  
4 34.7426 67.0549 5  
5 46.1501 83.7575 1  
6 46.4747 77.6014 4  
7 63.1714 80.8758 1  
8 15.7876 90.2543 3  
9 23.3303 9.6691 4  
10 71.5152 35.664 1  
11 26.2445 62.3569 2  
12 16.9717 56.0725 3  
13 58.7688 63.9987 4  
14 86.082 41.2448 5  
15 10.5798 37.258 3  
16 34.6655 43.022 2  
17 67.3096 64.0859 2  
18 33.6503 8.6894 5  
19 76.7396 77.7103 3  
20 39.3955 59.0804 3  
21 67.4189 97.4652 2  
22 54.5391 32.2687 4  
23 27.653 31.3751 5  
24 61.8609 66.8024 1  
25 48.0551 98.0464 3  
26 51.712 72.6311 2  
27 63.4412 87.8006 3  
28 4.4633 82.007 2  
29 55.805 73.9444 2  
30 19.0678 11.3106 1  
31 95.6784 84.9222 4  
32 50.4654 47.4018 5  
33 55.7394 86.2305 3  
34 55.3277 81.3177 2  
35 30.2934 90.2358 3  
36 14.2177 46.6128 1  
37 37.2666 79.6919 3  
38 85.0106 98.3374 3  
39 79.5594 69.7273 2  
40 55.5757 20.5054 5  
41 58.5749 81.7599 1  
42 90.5192 59.4258 1  
43 32.744 1.7222 3  
44 8.963 32.0321 2  
45 60.5663 73.5496 4  
46 64.4589 31.284 3  
47 37.894 70.8966 3  
48 93.0467 43.8778 2  
49 71.8652 99.6709 3  
50 59.7088 50.7669 1  
51 31.5092 48.3311 1  
52 81.3269 10.538 5  
53 89.4204 68.58 5  
54 34.7426 67.0549 5  
55 46.1501 83.7575 5  
56 46.4747 77.6014 3  
57 63.1714 80.8758 1  
58 15.7876 90.2543 1  
59 23.3303 9.6691 5  
60 71.5152 35.664 5  
61 26.2445 62.3569 4  
62 16.9717 56.0725 2  
63 58.7688 63.9987 2  
64 86.082 41.2448 3  
65 10.5798 37.258 2  
66 34.6655 43.022 2  
67 67.3096 64.0859 1  
68 33.6503 8.6894 2  
69 76.7396 77.7103 5  
70 39.3955 59.0804 1  
71 67.4189 97.4652 4  
72 54.5391 32.2687 1  
73 27.653 31.3751 2  
74 61.8609 66.8024 5  
75 48.0551 98.0464 5  
76 51.712 72.6311 5  
77 63.4412 87.8006 4  
78 4.4633 82.007 2  
79 55.805 73.9444 3  
80 19.0678 11.3106 5  
81 95.6784 84.9222 5  
82 50.4654 47.4018 5  
83 55.7394 86.2305 4  
84 55.3277 81.3177 1  
85 30.2934 90.2358 1  
86 14.2177 46.6128 2  
87 37.2666 79.6919 1  
88 85.0106 98.3374 1  
89 79.5594 69.7273 4  
90 55.5757 20.5054 1  
91 58.5749 81.7599 1  
92 90.5192 59.4258 5  
93 32.744 1.7222 4  
94 8.963 32.0321 1  
95 60.5663 73.5496 4  
96 64.4589 31.284 3  
97 37.894 70.8966 2  
98 93.0467 43.8778 3  
99 71.8652 99.6709 3  
100 59.7088 50.7669 3  
101 31.5092 48.3311 3  
102 81.3269 10.538 2  
103 89.4204 68.58 4  
104 34.7426 67.0549 3  
105 46.1501 83.7575 4  
106 46.4747 77.6014 1  
107 63.1714 80.8758 3  
108 15.7876 90.2543 2  
109 23.3303 9.6691 3  
110 71.5152 35.664 2  
111 26.2445 62.3569 2  
112 16.9717 56.0725 5  
113 58.7688 63.9987 2  
114 86.082 41.2448 5  
115 10.5798 37.258 5  
116 34.6655 43.022 1  
117 67.3096 64.0859 4  
118 33.6503 8.6894 4  
119 76.7396 77.7103 4  
120 39.3955 59.0804 3  
121 67.4189 97.4652 2  
122 54.5391 32.2687 3  
123 27.653 31.3751 5  
124 61.8609 66.8024 4  
125 48.0551 98.0464 3  
126 51.712 72.6311 1  
127 63.4412 87.8006 2  
128 4.4633 82.007 3  
129 55.805 73.9444 2  
130 19.0678 11.3106 1  
131 95.6784 84.9222 2  
132 50.4654 47.4018 3  
133 55.7394 86.2305 5  
134 55.3277 81.3177 2  
135 30.2934 90.2358 4  
136 14.2177 46.6128 4  
137 37.2666 79.6919 5  
138 85.0106 98.3374 3  
139 79.5594 69.7273 5  
140 55.5757 20.5054 1  
141 58.5749 81.7599 2  
142 90.5192 59.4258 5  
143 32.744 1.7222 1  
144 8.963 32.0321 5  
145 60.5663 73.5496 2  
146 64.4589 31.284 5  
147 37.894 70.8966 2  
148 93.0467 43.8778 2  
149 71.8652 99.6709 3  
150 59.7088 50.7669 2  
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
